ID,z,s100,e100,s160,e160,s250,e250,s350,e350,s500,e500,s880,e880,s1200,e1200,ref
SDP9,1.577,208,34,416,94,471,7,343,8,181,9,24.8,3.3,6.9,1.2,Negrello2010
SDP11,1.786,NaN,NaN,397,90,417,6,378,7,232,8,29.2,2.7,12.2,1.2,Negrello2010
SDP17,2.3051,NaN,NaN,182,56,347,7,339,8,219,9,56.6,4.1,15.3,1.3,Omont2011
SDP81,3.042,NaN,NaN,NaN,NaN,138,7,199,8,174,9,76.4,3.8,19.6,0.9,Negrello2010
SDP130,2.6256,NaN,NaN,NaN,NaN,116,6,140,7,108,8,39.3,2.3,11.2,1.2,Negrello2010
SDP141,4.243,NaN,NaN,NaN,NaN,115,7,192,8,203,9,90,5,36,2,Cox2011
HLock01,2.9575,NaN,NaN,310,8,425,10,340,10,233,11,52.8,0.6,18,1,Conley2011
Eyelash,2.3259,NaN,NaN,NaN,NaN,366,55,429,64,325,49,106,12,26,4,Ivison2010
Bullet,2.79,NaN,NaN,24.5,4,65.3,2.8,98.6,3.9,101.4,4,48.0,1.5,13.5,1.5,Rex2010
HLS,5.2429,NaN,NaN,NaN,NaN,85,8,168,8,203,9,125,8,55,7,Combes2012
Planck,3.259,25,6,138,21,323,24,378,28,298,24,103,19,38,6,Fu12
#Mike,0.816,130.6,13,363,30,344,10,249,10,105.7,10,NaN,NaN,NaN,NaN,Gladders12
HBootes01,3.274,NaN,NaN,54.2,1.2,158,6,191,7,160,33,61,3,26.8,1.5,Wardlow12
HBootes02,2.804,NaN,NaN,53.9,1.2,159,6,196,7,157,33,35.5,2.9,22.4,1.0,Wardlow12
HBootes03,1.325,NaN,NaN,142.3,1.31,323,6,244,7,140,33,18.4,2.5,9.9,5.8,Wardlow12
HLock03,2.771,NaN,NaN,69.6,1.22,114,7,147,10,114,8,47.0,1.3,17.1,1.6,Wardlow12
#HLock05,3.52,NaN,NaN,67,1.23,71,7,102,10,99,8,26.9,.93,11.3,.9,Wardlow12
HXMM01,2.307,NaN,NaN,88.3,1.04,180,7,192,8,132,7,25.1,1.1,11.1,.9,Wardlow12
HXMM02,3.390,NaN,NaN,21.1,1.14,92,7,122,8,113,7,51.9,1.2,31.3,.08,Wardlow12
HXMM05,2.985,NaN,NaN,NaN,NaN,106,7,119,8,92,7,21,1.,8.9,.9,Wardlow12
#HXMM11,2.179,NaN,NaN,66.2,1.03,107,7,108,8,81,7,18,1,.8,.3,Wardlow12
FLS3,6.34,NaN,NaN,NaN,NaN,12.0,7.2,32.4,7.3,47.3,8.3,33,2.4,14.07,0.60,Riechers13
G09v1.97,3.634,NaN,NaN,NaN,NaN,260,7,321,8,269,9,86.8,3.3,NaN,NaN,Bussmann13
G09v1.124,2.410,NaN,NaN,NaN,NaN,242,7,293,8,231,9,50.0,3.5,NaN,NaN,Harris12
G09v1.40,2.0894,NaN,NaN,NaN,NaN,389,7,381,8,241,9,62.2,3.6,NaN,NaN,Bussmann13
G09v1.326,2.5811,NaN,NaN,NaN,NaN,142,7,175,8,138,9,18.6,1.7,NaN,NaN,Harris12
G12v2.43,3.1276,NaN,NaN,NaN,NaN,290,7,295,8,216,9,49.1,2.1,NaN,NaN,Harris12
G12v2.30,3.2592,NaN,NaN,NaN,NaN,290,6,356,7,295,8,88.5,7.3,NaN,NaN,Harris12
NCv1.268,3.675,NaN,NaN,NaN,NaN,145,7,201,8,212,9,78.8,4.4,NaN,NaN,Bussmann13
NCv1.143,3.565,NaN,NaN,NaN,NaN,214,7,291,8,261,9,109.5,4.6,NaN,NaN,Bussmann13
NBv1.43,1.676,NaN,NaN,NaN,NaN,347,7,377,8,268,9,27.0,2.4,NaN,NaN,Bussmann13
NAv1.195,2.951,NaN,NaN,NaN,NaN,179,7,279,8,265,9,57.6,3.1,NaN,NaN,Bussmann13
NAv1.177,2.778,NaN,NaN,NaN,NaN,264,9,310,10,261,10,51.8,2.0,NaN,NaN,Bussmann13
NBv1.78,3.1112,NaN,NaN,NaN,NaN,273,7,282,8,214,9,46.0,3.9,NaN,NaN,Bussmann12
NAv1.144,2.2024,NaN,NaN,NaN,NaN,295,8,294,9,191,10,36.2,3.5,NaN,NaN,Harris12
NAv1.56,2.3010,NaN,NaN,NaN,NaN,481,9,484,13,344,11,70.4,3.4,NaN,NaN,Harris12
G15v2.235,2.4782,NaN,NaN,NaN,NaN,190,7,240,8,200,9,33.5,2.8,NaN,NaN,Harris12
#HATLAS_J1429,1.027,80,14,94.8,9,64.4,5,34.0,3,14.7,1.3,NaN,NaN,0.91,0.1,Messias14
